Year,Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
2024,891,Jorge López,31,NYM,NL,28,0,0,26.1,3,1,0,2,0,0.333,,,-2,-15.0,0.34,1.37,0.04,1.34,,,,,,,1,,lopezjo02
2024,891,Jorge López,31,CHC,NL,24,0,0,26.2,5,1,3,1,0,0.8,,,-1,-8.0,1.35,1.35,0.17,1.34,,,,,,,1,,lopezjo02
2024,892,Gregory Soto,29,2TM,2LG,66,0,0,53.0,10,3,7,0,0,1.0,,,-1,-4.0,1.7,1.34,0.15,1.32,,,,,,,1,,sotogr01
2024,892,Gregory Soto,29,PHI,NL,43,0,0,35.1,5,2,3,0,0,1.0,,,-1,-6.0,1.27,1.35,0.12,1.34,,,,,,,1,,sotogr01
2024,892,Gregory Soto,29,BAL,AL,23,0,0,17.2,5,1,4,0,0,1.0,,,0,0.0,2.55,1.32,0.22,1.29,,,,,,,1,,sotogr01
2024,893,Seth Martinez,29,HOU,AL,44,0,0,52.2,10,5,5,0,0,1.0,,,1,4.0,1.71,1.32,0.23,1.29,,,,,,,1,,martise01
2024,894,Craig Kimbrel,36,BAL,AL,57,0,0,52.1,6,3,2,1,0,0.833,,,-2,-8.0,0.86,1.31,0.09,1.29,,,,,,,1,,kimbrcr01
2024,895,Randy Rodríguez,24,SFG,NL,35,1,0,52.1,8,2,6,0,0,1.0,,,1,4.0,1.38,1.36,0.23,1.34,,,,,,,1,,rodrira02
2024,896,José Suarez,26,LAA,AL,22,3,0,52.1,3,0,3,0,0,1.0,,,0,0.0,0.52,1.31,0.14,1.29,,,,,,,1,,suarejo01
2024,897,Bubba Thompson,26,CIN,NL,11,5,4,52.0,15,15,0,0,0,1.0,-1.0,-12.0,-1,-23.0,2.6,2.22,1.36,2.18,,,,,,,8/HD,,thompbu01
2024,898,John Schreiber,30,KCR,AL,59,0,0,51.2,11,6,4,1,0,0.909,,,-1,-4.0,1.74,1.31,0.17,1.29,,,,,,,1,,schrejo01
2024,899,Huascar Brazobán,34,2TM,NL,39,0,0,51.2,12,8,3,1,0,0.917,,,-1,-4.0,1.92,1.36,0.28,1.34,,,,,,,1,,brazohu01
2024,899,Huascar Brazobán,34,MIA,NL,20,0,0,30.2,8,5,3,0,0,1.0,,,0,0.0,2.35,1.35,0.4,1.34,,,,,,,1,,brazohu01
2024,899,Huascar Brazobán,34,NYM,NL,19,0,0,21.0,4,3,0,1,0,0.75,,,-1,-10.0,1.29,1.37,0.16,1.34,,,,,,,1,,brazohu01
2024,900,Tyler Ferguson,30,OAK,AL,48,0,0,51.1,2,0,2,0,0,1.0,,,1,4.0,0.35,1.31,0.04,1.29,,,,,,,1,,ferguty01
2024,901,Colin Holderman,28,PIT,NL,55,0,0,51.1,9,5,4,0,0,1.0,,,-1,-4.0,1.58,1.37,0.16,1.34,,,,,,,1,,holdeco01
2024,902,Elvis Peguero,27,MIL,NL,52,0,0,51.1,7,1,5,1,1,0.857,,,-1,-4.0,1.05,1.37,0.12,1.34,,,,,,,1,,pegueel01
2024,903,Brennan Bernardino,32,BOS,AL,57,3,0,51.0,13,5,6,2,0,0.846,,,2,8.0,1.94,1.31,0.19,1.29,,,,,,,1,,bernabr01
2024,904,Michael Grove,27,LAD,NL,39,2,0,51.0,7,3,4,0,0,1.0,,,1,4.0,1.24,1.36,0.18,1.34,,,,,,,1,,grovemi01
2024,905,Tanner Rainey,31,WSN,NL,50,0,0,51.0,6,4,2,0,0,1.0,,,-1,-4.0,1.06,1.36,0.12,1.34,,,,,,,1,,raineta01
2024,906,José Ruiz,29,PHI,NL,52,0,0,51.0,3,1,2,0,0,1.0,,,-1,-4.0,0.53,1.36,0.06,1.34,,,,,,,1,,ruizjo01
2024,907,Carmen Mlodzinski,25,PIT,NL,40,4,0,50.2,9,8,1,0,0,1.0,,,-1,-4.0,1.6,1.37,0.23,1.34,,,,,,,1,,mlodzca01
2024,908,Hunter Harvey,29,2TM,2LG,49,0,0,50.2,7,6,1,0,0,1.0,,,-4,-16.0,1.24,1.35,0.14,1.33,,,,,,,1,,harvehu01
2024,908,Hunter Harvey,29,WSN,NL,43,0,0,45.0,6,5,1,0,0,1.0,,,-3,-13.0,1.2,1.36,0.14,1.34,,,,,,,1,,harvehu01
2024,908,Hunter Harvey,29,KCR,AL,6,0,0,5.2,1,1,0,0,0,1.0,,,-1,-35.0,1.59,1.27,0.17,1.28,,,,,,,/1,,harvehu01
2024,909,Landen Roupp,25,SFG,NL,23,4,0,50.1,11,3,8,0,0,1.0,,,2,8.0,1.97,1.36,0.48,1.34,,,,,,,1,,rouppla01
